Código Ámbito,Ámbito,Código área,Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Código Meses,Meses,Unidad,valor,Símbolo,Descripción del Símbolo
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","1991","1991","7021","Valor anual","","12.45","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","1992","1992","7021","Valor anual","","13.02","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","1993","1993","7021","Valor anual","","16.46","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","1994","1994","7021","Valor anual","","27.36","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","1995","1995","7021","Valor anual","","28.65","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","1996","1996","7021","Valor anual","","39.07","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","1997","1997","7021","Valor anual","","46.19","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","1998","1998","7021","Valor anual","","42.33","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","1999","1999","7021","Valor anual","","42.19","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2000","2000","7021","Valor anual","","46.1","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2001","2001","7021","Valor anual","","50.18","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2002","2002","7021","Valor anual","","44.7","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2003","2003","7021","Valor anual","","47.76","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2004","2004","7021","Valor anual","","56.36","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2005","2005","7021","Valor anual","","64.17","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2006","2006","7021","Valor anual","","71.83","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2007","2007","7021","Valor anual","","81.08","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2008","2008","7021","Valor anual","","84.87","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2009","2009","7021","Valor anual","","81.58","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2010","2010","7021","Valor anual","","93.2","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2011","2011","7021","Valor anual","","120.05","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2012","2012","7021","Valor anual","","108.26","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2013","2013","7021","Valor anual","","93.9","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2014","2014","7021","Valor anual","","100.32","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2015","2015","7021","Valor anual","","101.13","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2016","2016","7021","Valor anual","","98.56","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2017","2017","7021","Valor anual","","100.89","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2018","2018","7021","Valor anual","","93.52","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2019","2019","7021","Valor anual","","99.57","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2020","2020","7021","Valor anual","","95.08","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2051","Agricultura","2021","2021","7021","Valor anual","","95.3","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","1991","1991","7021","Valor anual","","11.27","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","1992","1992","7021","Valor anual","","12.19","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","1993","1993","7021","Valor anual","","13.53","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","1994","1994","7021","Valor anual","","21.55","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","1995","1995","7021","Valor anual","","22.25","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","1996","1996","7021","Valor anual","","35.05","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","1997","1997","7021","Valor anual","","38.7","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","1998","1998","7021","Valor anual","","37.26","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","1999","1999","7021","Valor anual","","39.03","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2000","2000","7021","Valor anual","","43.1","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2001","2001","7021","Valor anual","","50.31","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2002","2002","7021","Valor anual","","51.6","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2003","2003","7021","Valor anual","","51.94","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2004","2004","7021","Valor anual","","52.48","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2005","2005","7021","Valor anual","","53.27","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2006","2006","7021","Valor anual","","61.57","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2007","2007","7021","Valor anual","","84.82","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2008","2008","7021","Valor anual","","84.87","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2009","2009","7021","Valor anual","","81.58","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2010","2010","7021","Valor anual","","93.2","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2011","2011","7021","Valor anual","","120.05","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2012","2012","7021","Valor anual","","108.26","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2013","2013","7021","Valor anual","","93.9","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2014","2014","7021","Valor anual","","100.32","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2015","2015","7021","Valor anual","","101.13","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2016","2016","7021","Valor anual","","98.56","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2017","2017","7021","Valor anual","","100.89","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2018","2018","7021","Valor anual","","93.52","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2019","2019","7021","Valor anual","","96.37","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2020","2020","7021","Valor anual","","92.62","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1717","Cereales, total","2021","2021","7021","Valor anual","","91.4","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","1991","1991","7021","Valor anual","","6.38","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","1992","1992","7021","Valor anual","","7.58","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","1993","1993","7021","Valor anual","","10.49","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","1994","1994","7021","Valor anual","","11.24","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","1995","1995","7021","Valor anual","","19.3","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","1996","1996","7021","Valor anual","","24.02","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","1997","1997","7021","Valor anual","","31.25","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","1998","1998","7021","Valor anual","","36.1","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","1999","1999","7021","Valor anual","","40.98","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2000","2000","7021","Valor anual","","45.82","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2001","2001","7021","Valor anual","","50.56","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2002","2002","7021","Valor anual","","55.39","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2003","2003","7021","Valor anual","","60.24","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2004","2004","7021","Valor anual","","65.08","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2005","2005","7021","Valor anual","","69.94","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2006","2006","7021","Valor anual","","72.83","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2007","2007","7021","Valor anual","","73.16","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2008","2008","7021","Valor anual","","84.87","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2009","2009","7021","Valor anual","","81.58","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2010","2010","7021","Valor anual","","93.2","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2011","2011","7021","Valor anual","","120.05","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2012","2012","7021","Valor anual","","108.26","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2013","2013","7021","Valor anual","","93.9","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2014","2014","7021","Valor anual","","100.32","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2015","2015","7021","Valor anual","","101.13","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2016","2016","7021","Valor anual","","98.56","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2017","2017","7021","Valor anual","","100.89","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2018","2018","7021","Valor anual","","93.52","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2019","2019","7021","Valor anual","","92.26","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2020","2020","7021","Valor anual","","91.74","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1732","Cultivos oleaginosos, equivalente aceite","2021","2021","7021","Valor anual","","90.89","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","1991","1991","7021","Valor anual","","9.4","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","1992","1992","7021","Valor anual","","11.86","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","1993","1993","7021","Valor anual","","14.75","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","1994","1994","7021","Valor anual","","20.02","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","1995","1995","7021","Valor anual","","23.03","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","1996","1996","7021","Valor anual","","27.7","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","1997","1997","7021","Valor anual","","28.47","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","1998","1998","7021","Valor anual","","30.05","I","Valor imputado"
